Mounth;T;Salinity;pH;O2;H2O_O;Chem_O2;N;NN;NHN;F;BP;BE
10;0.359459459459459;0.1;0.275182481751825;0.1;0.124797843665768;0.144137931034483;0.299466666666667;0.168627450980392;0.266037735849057;0.831319554848967;0.13524699599466;0.119751986531545
11;0.272972972972973;0.25;0.1;0.163576158940397;0.154986522911051;0.112413793103448;0.531542857142857;0.407843137254902;0.38911465892598;0.836406995230525;0.1;0.128886428697766
12;0.208108108108108;0.225;0.228467153284671;0.174172185430464;0.123719676549865;0.26;0.327047619047619;0.198039215686275;0.40188679245283;0.9;0.202180685358255;0.246586048096009
1;0.208108108108108;0.3;0.298540145985401;0.131788079470199;0.1;0.236551724137931;0.340152380952381;0.109803921568627;0.422786647314949;0.870747217806041;0.213336300252188;0.227987003203344
2;0.143243243243243;0.2;0.292700729927007;0.583002207505519;0.435309973045822;0.429655172413793;0.389371428571429;0.237254901960784;0.637590711175617;0.887281399046105;0.160643821391485;0.456306132208342
3;0.186486486486487;0.225;0.251824817518248;0.714569536423841;0.583018867924528;0.811724137931034;0.9;0.201960784313725;0.663134978229318;0.840222575516693;0.182361667408396;0.586557093538941
4;0.316216216216216;0.225;0.397810218978102;0.228918322295806;0.232614555256065;0.734482758620689;0.465409523809524;0.109803921568627;0.572568940493469;0.821144674085851;0.183073727933541;0.461651588897696
5;0.532432432432432;0.275;0.345255474452555;0.108830022075055;0.189487870619946;0.9;0.648571428571429;0.215686274509804;0.693323657474601;0.776629570747218;0.361207535973891;0.712626021106693
6;0.813513513513514;0.35;0.421167883211679;0.11766004415011;0.312398921832884;0.513793103448276;0.717752380952381;0.752941176470588;0.687518142235123;0.826232114467409;0.652914997774811;0.331379664991844
7;0.835135135135135;0.175;0.380291970802919;0.120309050772627;0.324258760107817;0.389655172413793;0.709676190476191;0.796078431372549;0.802467343976778;0.855484896661367;0.268520990950898;0.551853550208643
8;0.618918918918919;0.3;0.362773722627737;0.109713024282561;0.222911051212938;0.348275862068965;0.723542857142857;0.372549019607843;0.9;0.844038155802862;0.173104880581516;0.321307147583081
9;0.727027027027027;0.45;0.310218978102189;0.119426048565121;0.275741239892183;0.127586206896552;0.6792;0.1;0.55166908563135;0.826232114467409;0.170375315235128;0.365716363255226
10;0.489189189189189;0.325;0.286861313868613;0.111479028697572;0.185175202156334;0.14;0.498171428571429;0.174509803921569;0.414658925979681;0.826232114467409;0.152573802106512;0.267050762186135
10;0.445945945945946;0.425;0.502919708029197;0.108830022075055;0.164690026954178;0.203448275862069;0.224038095238095;0.184313725490196;0.37866473149492;0.536248012718601;0.326435246995995;0.152553176157691
11;0.294594594594595;0.525;0.321897810218978;0.211258278145695;0.205660377358491;0.407586206896552;0.201028571428571;0.198039215686275;0.357764876632801;0.583306836248013;0.297359442219255;0.141374882904365
12;0.22972972972973;0.525;0.502919708029197;0.222737306843267;0.172237196765499;0.404827586206897;0.201333333333333;0.164705882352941;0.264876632801161;0.593481717011129;0.290832220738763;0.511783587613738
1;0.272972972972973;0.675;0.462043795620438;0.244812362030905;0.223989218328841;0.231034482758621;0.3016;0.262745098039216;0.145283018867925;0.639268680445151;0.195772140631954;0.31515463174651
2;0.1;0.675;0.321897810218978;0.667770419426049;0.484905660377359;0.442068965517241;0.368952380952381;0.252941176470588;0.241654571843251;0.536248012718601;0.146758641151165;0.380253909192744
3;0.19945945945946;0.6;0.374452554744525;0.732229580573952;0.606738544474394;0.38551724137931;0.347314285714286;0.172549019607843;0.387953555878084;0.537519872813991;0.180818869603916;0.26156904875764
4;0.294594594594595;0.6;0.736496350364963;0.2439293598234;0.236927223719677;0.417241379310345;0.25207619047619;0.188235294117647;0.288098693759071;0.566772655007949;0.230781783118232;0.250616103188277
5;0.510810810810811;0.525;0.637226277372263;0.229801324503311;0.30377358490566;0.458620689655173;0.35447619047619;0.772549019607843;0.396081277213353;0.547694753577107;0.312194036493102;0.9
6;0.683783783783784;0.625;0.713138686131387;0.251876379690949;0.41266846361186;0.306896551724138;0.361028571428571;0.843137254901961;0.511030478955007;0.573131955484897;0.9;0.190369661912966
